Date,Transaction,Name,Memo,Amount
2023-10-06,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,60.0
2023-10-06,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,50.0
2023-10-06,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,45.0
2023-10-06,DEBIT,NON-USBANK ATM DENIED FEE,Download from usbank.com.,-2.5
2023-10-06,CREDIT,REVERSE NON-USBANK ATM DENIED FEE,Download from usbank.com.,2.5
2023-10-06,DEBIT,NON-USBANK ATM DENIED FEE,Download from usbank.com.,-2.5
2023-10-06,CREDIT,REVERSE NON-USBANK ATM DENIED FEE,Download from usbank.com.,2.5
2023-10-06,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,200.0
2023-10-06,DEBIT,DEBIT PURCHASE -VISA APPLE CASH SENT 1INFINITELOOCA,Download from usbank.com.3650,-60.0
2023-10-06,DEBIT,DEBIT PURCHASE -VISA ROCKET [ANONYMIZED]     SALEM       OR,Download from usbank.com.3650,-46.93
2023-10-06,DEBIT,DEBIT PURCHASE -VISA DAIRY QUEEN #190SALEM       OR,Download from usbank.com.3650,-9.67
2023-10-06,DEBIT,DEBIT PURCHASE HORNBROOK CHEV  HORNBROOK   CA,Download from usbank.com.3650,-25.4
2023-10-06,DEBIT,ATM WITHDRAWAL [ANONYMIZED] JAZZ ALLEY SACRAMENTO  CAUS1,Download from usbank.com.3650,-42.0
2023-10-06,DEBIT,ATM FEE 100623PLUSTERM2320 JAZZ ALLEY SACRAMENTO  CAUS1,Download from usbank.com.,-2.5
2023-10-06,CREDIT,REVERSED ATM FEE REVERSE CARD TRANSACTION FEE,Download from usbank.com.,2.5
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,60.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,50.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,100.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,30.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,50.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,100.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,10.0
2023-10-10,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,100.0
2023-10-10,DEBIT,DEBIT PURCHASE -VISA WILLAMETTE TOWN SALEM       OR,Download from usbank.com.0857,-11.31
2023-10-10,DEBIT,DEBIT PURCHASE -VISA Amazon Prime*TE8Amzn.com/bilWA,Download from usbank.com.3650,-14.99
2023-10-10,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE SALEM       OR,Download from usbank.com.3650,-37.45
2023-10-10,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER ROSEBURG    OR,Download from usbank.com.3650,-9.4
2023-10-10,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER ROSEBURG    OR,Download from usbank.com.0857,-2.2
2023-10-10,DEBIT,DEBIT PURCHASE -VISA CHEVRON [ANONYMIZED] HORNBROOK   CA,Download from usbank.com.3650,-51.0
2023-10-10,DEBIT,DEBIT PURCHASE -VISA CHEVRON [ANONYMIZED] HORNBROOK   CA,Download from usbank.com.0857,-8.0
2023-10-10,DEBIT,RECURRING DEBIT PURCHASE Spotify USA     877-[ANONYMIZED] NY,Download from usbank.com.3650,-16.99
2023-10-10,DEBIT,DEBIT PURCHASE -VISA TST* Midtowns CaSacramento  CA,Download from usbank.com.3650,-93.84
2023-10-10,DEBIT,DEBIT PURCHASE -VISA MCDONALD'S F1055WOODLAND    CA,Download from usbank.com.3650,-7.73
2023-10-10,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE WOODLAND    CA,Download from usbank.com.3650,-12.5
2023-10-10,DEBIT,DEBIT PURCHASE -VISA TARGET        00WOODLAND    CA,Download from usbank.com.0857,-5.75
2023-10-10,DEBIT,DEBIT PURCHASE -VISA TARGET        00WOODLAND    CA,Download from usbank.com.0857,-16.2
2023-10-10,DEBIT,DEBIT PURCHASE -VISA LinkedIn Pre [ANONYMIZED]-[ANONYMIZED] CA,Download from usbank.com.3650,-39.99
2023-10-10,DEBIT,DEBIT PURCHASE -VISA GOLDEN 1 CTR CONSACRAMENTO  CA,Download from usbank.com.3650,-78.41
2023-10-10,DEBIT,DEBIT PURCHASE -VISA BB DINER WOODLANWOODLAND    CA,Download from usbank.com.3650,-54.78
2023-10-10,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE RED BLUFF   CA,Download from usbank.com.3650,-14.2
2023-10-10,DEBIT,DEBIT PURCHASE -VISA CHEVRON [ANONYMIZED] CASTELLA    CA,Download from usbank.com.3650,-11.72
2023-10-10,DEBIT,DEBIT PURCHASE -VISA CHEVRON [ANONYMIZED] CASTELLA    CA,Download from usbank.com.3650,-5.41
2023-10-10,DEBIT,DEBIT PURCHASE -VISA SHELL OIL 123674GRENADA     CA,Download from usbank.com.3650,-50.07
2023-10-10,DEBIT,DEBIT PURCHASE -VISA PANDA EXPRESS #1MEDFORD     OR,Download from usbank.com.3650,-13.0
2023-10-10,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER MEDFORD     OR,Download from usbank.com.3650,-9.4
2023-10-10,DEBIT,DEBIT PURCHASE SHELL SERVICE STSALEM       OR,Download from usbank.com.3650,-43.36
2023-10-10,DEBIT,ELECTRONIC WITHDRAWAL PHYSIQ FIT,Download from usbank.com.,-12.99
2023-10-10,DEBIT,WEB AUTHORIZED PMT AMZ_STORECRD_PMT,Download from usbank.com.,-57.0
2023-10-11,CREDIT,ELECTRONIC DEPOSIT APPLE CASH,Download from usbank.com.,130.0
2023-10-11,DEBIT,DEBIT PURCHASE -VISA SCM ASC         SALEM       OR,Download from usbank.com.3650,-35.0
2023-10-11,DEBIT,RECURRING DEBIT PURCHASE ABC*PHYSIQ FITNE503-[ANONYMIZED] OR,Download from usbank.com.3650,-5.0
2023-10-11,DEBIT,RECURRING DEBIT PURCHASE APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,-9.99
2023-10-11,DEBIT,DEBIT PURCHASE -VISA PARCHMENT-UNIV D480-719-1646AZ,Download from usbank.com.3650,-10.0
2023-10-11,DEBIT,DEBIT PURCHASE -VISA PORTLAND PARKING503-[ANONYMIZED] OR,Download from usbank.com.3650,-3.7
2023-10-12,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,155.76
2023-10-12,DEBIT,DEBIT PURCHASE -VISA AMZN Mktp US*TE5Amzn.com/bilWA,Download from usbank.com.3650,-6.39
2023-10-12,DEBIT,DEBIT PURCHASE -VISA AMZN Mktp US*TE0Amzn.com/bilWA,Download from usbank.com.3650,-52.77
2023-10-12,DEBIT,DEBIT PURCHASE -VISA CAFE YUMM! #1000KEIZER      OR,Download from usbank.com.3650,-9.9
2023-10-12,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM*TE97USEATTLE     WA,Download from usbank.com.3650,-7.39
2023-10-12,DEBIT,RECURRING DEBIT PURCHASE CHATGPT SUBSCRIPHTTPSOPENAI.CA,Download from usbank.com.3650,-20.0
2023-10-12,DEBIT,DEBIT PURCHASE -VISA SQ *THE DOT     Salem       OR,Download from usbank.com.3650,-4.6
2023-10-12,DEBIT,DEBIT PURCHASE -VISA MERCADO SAN FRANSalem       OR,Download from usbank.com.3650,-32.65
2023-10-13,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,49.99
2023-10-13,DEBIT,DEBIT PURCHASE -VISA BLVD   *FACEBAR 503-403-8717OR,Download from usbank.com.0857,-69.0
2023-10-13,DEBIT,DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,-15.99
2023-10-13,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-8.15
2023-10-13,DEBIT,DEBIT PURCHASE TJ MAXX # 827 LASALEM       OR,Download from usbank.com.3650,-91.0
2023-10-16,CREDIT,ELECTRONIC DEPOSIT N7090 MARION & P,Download from usbank.com.,2144.77
2023-10-16,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,22.99
2023-10-16,DEBIT,DEBIT PURCHASE -VISA Nintendo CA10703800-[ANONYMIZED] WA,Download from usbank.com.3650,-28.99
2023-10-16,DEBIT,DEBIT PURCHASE FRED-MEYER #0355SALEM       OR,Download from usbank.com.3650,-12.87
2023-10-16,DEBIT,DEBIT PURCHASE FRED-MEYE FRED MSALEM       OR,Download from usbank.com.3650,-49.99
2023-10-16,DEBIT,RECURRING DEBIT PURCHASE APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,-2.99
2023-10-16,DEBIT,DEBIT PURCHASE -VISA AMZN Mktp US*TP0Amzn.com/bilWA,Download from usbank.com.3650,-29.98
2023-10-16,DEBIT,DEBIT PURCHASE -VISA Don Pedro Mayor Salem       OR,Download from usbank.com.3650,-45.73
2023-10-16,DEBIT,DEBIT PURCHASE GOODWILL  585 EDSALEM       OR,Download from usbank.com.3650,-10.15
2023-10-16,DEBIT,DEBIT PURCHASE WINCO FOODS #18 Salem       OR,Download from usbank.com.3650,-35.01
2023-10-16,DEBIT,DEBIT PURCHASE -VISA THERAPEUTIC ASSO200-[ANONYMIZED] WA,Download from usbank.com.3650,-178.48
2023-10-16,DEBIT,DEBIT PURCHASE -VISA THERAPEUTIC ASSO200-[ANONYMIZED] WA,Download from usbank.com.3650,-108.07
2023-10-16,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-100.0
2023-10-16,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-343.72
2023-10-17,DEBIT,MOBILE BANKING TRANSFER WITHDRAWAL [ANONYMIZED],Download from usbank.com.,-45.0
2023-10-17,DEBIT,DEBIT PURCHASE -VISA UBER   EATS     HELP.UBER.COCA,Download from usbank.com.0857,-33.67
2023-10-17,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-5.95
2023-10-17,DEBIT,DEBIT PURCHASE -VISA MCDONALD'S F594 SALEM       OR,Download from usbank.com.0857,-8.79
2023-10-17,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-260.12
2023-10-17,DEBIT,WEB AUTHORIZED PMT AMAZON CORP,Download from usbank.com.,-264.91
2023-10-17,DEBIT,WEB AUTHORIZED PMT SYNCHRONY BANK,Download from usbank.com.,-125.0
2023-10-18,DEBIT,DEBIT PURCHASE -VISA FRED-MEYER #0355SALEM       OR,Download from usbank.com.3650,-56.0
2023-10-18,DEBIT,DEBIT PURCHASE -VISA CANYON MEDICAL C503-[ANONYMIZED] OR,Download from usbank.com.0857,-35.0
2023-10-18,DEBIT,ELECTRONIC WITHDRAWAL COMCAST [ANONYMIZED],Download from usbank.com.,-75.0
2023-10-19,DEBIT,DEBIT PURCHASE -VISA AMZN Mktp US*0X4Amzn.com/bilWA,Download from usbank.com.3650,-13.99
2023-10-19,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-8.15
2023-10-19,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-4.4
2023-10-19,DEBIT,RECURRING DEBIT PURCHASE Amazon Prime*TP9Amzn.com/bilWA,Download from usbank.com.3650,-14.99
2023-10-23,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,500.0
2023-10-23,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,38.0
2023-10-23,DEBIT,DEBIT PURCHASE -VISA VICTORIAS SECRET800-888-1500OH,Download from usbank.com.0857,-123.9
2023-10-23,DEBIT,DEBIT PURCHASE -VISA IN N OUT BURGER KEIZER      OR,Download from usbank.com.0857,-9.4
2023-10-23,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE SALEM       OR,Download from usbank.com.0857,-7.35
2023-10-23,DEBIT,DEBIT PURCHASE -VISA Nespresso BoutiqPortland    OR,Download from usbank.com.0857,-49.35
2023-10-23,DEBIT,DEBIT PURCHASE -VISA STARBUCKS STORE TIGARD      OR,Download from usbank.com.0857,-10.9
2023-10-23,DEBIT,DEBIT PURCHASE -VISA ANTOJITOS LA GORMCMINNVILLE OR,Download from usbank.com.3650,-62.68
2023-10-23,DEBIT,DEBIT PURCHASE -VISA SQ *KOPITOS     Dundee      OR,Download from usbank.com.3650,-3.45
2023-10-23,DEBIT,DEBIT PURCHASE -VISA Amazon.com*0X9YBAmzn.com/bilWA,Download from usbank.com.3650,-5.06
2023-10-23,DEBIT,DEBIT PURCHASE -VISA Amazon.com*TD92TAmzn.com/bilWA,Download from usbank.com.3650,-15.57
2023-10-23,DEBIT,DEBIT PURCHASE -VISA TST* VICTORICO MSALEM       OR,Download from usbank.com.3650,-25.97
2023-10-23,DEBIT,DEBIT PURCHASE -VISA AMZN Mktp US*5M9Amzn.com/bilWA,Download from usbank.com.3650,-12.95
2023-10-23,DEBIT,DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,-9.99
2023-10-23,DEBIT,RECURRING DEBIT PURCHASE Disney Plus     888-[ANONYMIZED] CA,Download from usbank.com.3650,-14.99
2023-10-23,DEBIT,DEBIT PURCHASE Wal-Mart Super CSALEM       OR,Download from usbank.com.3650,-28.19
2023-10-23,DEBIT,DEBIT PURCHASE -VISA FRED-MEYER #0355SALEM       OR,Download from usbank.com.3650,-23.63
2023-10-23,DEBIT,ELECTRONIC WITHDRAWAL PHYSIQ FIT,Download from usbank.com.,-12.99
2023-10-23,DEBIT,ELECTRONIC WITHDRAWAL EARNEST,Download from usbank.com.,-25.0
2023-10-24,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,270.24
2023-10-24,DEBIT,DEBIT PURCHASE -VISA HOME AFFAIRS - OSOUTHPORT,Download from usbank.com.0857,-122.15
2023-10-24,DEBIT,INTERNATIONAL PROCESSING FEE,Download from usbank.com.0857,-3.66
2023-10-24,DEBIT,DEBIT PURCHASE -VISA DUTCH BROS OR110SALEM       OR,Download from usbank.com.3650,-5.75
2023-10-24,DEBIT,DEBIT PURCHASE -VISA WALMART.COM     800-966-6546AR,Download from usbank.com.0857,-35.35
2023-10-24,DEBIT,DEBIT PURCHASE -VISA Amazon.com*K573UAmzn.com/bilWA,Download from usbank.com.0857,-6.17
2023-10-24,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM*8940KSEATTLE     WA,Download from usbank.com.0857,-18.52
2023-10-24,DEBIT,DEBIT PURCHASE -VISA MCDONALD'S F594 SALEM       OR,Download from usbank.com.0857,-8.79
2023-10-24,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-130.32
2023-10-25,CREDIT,DEBIT PURCHASE RET - VISA APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,8.76
2023-10-25,DEBIT,RECURRING DEBIT PURCHASE ABC*[ANONYMIZED]-PHYSIQ503-[ANONYMIZED] OR,Download from usbank.com.3650,-5.0
2023-10-25,DEBIT,DEBIT PURCHASE -VISA MCDONALD'S F594 SALEM       OR,Download from usbank.com.0857,-8.79
2023-10-25,DEBIT,DEBIT PURCHASE -VISA LASSEN COURT    530-251-8205CA,Download from usbank.com.3650,-270.24
2023-10-26,DEBIT,DEBIT PURCHASE -VISA OLIVE GARDEN ZK SALEM       OR,Download from usbank.com.3650,-73.27
2023-10-26,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.0857,-8.15
2023-10-27,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,100.0
2023-10-27,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,50.0
2023-10-27,DEBIT,RECURRING DEBIT PURCHASE GOOGLE *Google S855-836-3987CA,Download from usbank.com.3650,-1.99
2023-10-27,DEBIT,DEBIT PURCHASE -VISA TST* Ram - SalemSalem       OR,Download from usbank.com.3650,-17.78
2023-10-30,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,250.0
2023-10-30,DEBIT,DEBIT PURCHASE -VISA APPLE.COM/BILL  800-275-2273CA,Download from usbank.com.3650,-15.99
2023-10-30,DEBIT,RECURRING DEBIT PURCHASE APPLE.COM/BILL  866-712-7753CA,Download from usbank.com.3650,-2.99
2023-10-30,DEBIT,DEBIT PURCHASE -VISA PP*Maps Credit U503-[ANONYMIZED] OR,Download from usbank.com.3650,-5.0
2023-10-30,DEBIT,DEBIT PURCHASE -VISA CHARLEYS PHILLY PORTLAND    OR,Download from usbank.com.3650,-14.87
2023-10-30,DEBIT,DEBIT PURCHASE -VISA PANDA EXPRESS #3TIGARD      OR,Download from usbank.com.3650,-12.65
2023-10-30,DEBIT,DEBIT PURCHASE [ANONYMIZED] /2OR011 SEEPORTLAND    OR,Download from usbank.com.3650,-7.09
2023-10-30,DEBIT,DEBIT PURCHASE SHELL SERVICE STBEAVERTON   OR,Download from usbank.com.3650,-40.91
2023-10-30,DEBIT,DEBIT PURCHASE -VISA SQ *FORT GEORGE Astoria     OR,Download from usbank.com.3650,-109.2
2023-10-30,DEBIT,DEBIT PURCHASE -VISA SAFEWAY #[ANONYMIZED]   ASTORIA     OR,Download from usbank.com.3650,-13.58
2023-10-30,DEBIT,WEB AUTHORIZED PMT CITI CARD ONLINE,Download from usbank.com.,-58.19
2023-10-30,DEBIT,WEB AUTHORIZED PMT DISCOVER,Download from usbank.com.,-108.0
2023-10-31,CREDIT,ELECTRONIC DEPOSIT N7090 MARION & P,Download from usbank.com.,2144.6
2023-10-31,DEBIT,DEBIT PURCHASE WINCO FOODS #18 Salem       OR,Download from usbank.com.3650,-43.41
